permno,permco_pre,ticker_pre,issuernm_pre,size_segment_pre,bankruptcy_date,dlstcd,dlret,last_index_qdate_pre_or_at,last_index_id_pre,same_permno_reentered,first_reentry_date_permno,reentry_index_ids_permno,same_permco_reentered,first_reentry_date_permco,reentry_permnos_permco,reentry_index_ids_permco,reentered_index_after_bankruptcy,temporary_any_y1,temporary_y1_before_or_at_bankruptcy_year,temporary_first_y1_year,temporary_y1_years,temporary_any_confirmed_or_terminal_event,temporary_any_terminal_failure_event,temporary_terminal_failure_codes,permanent_any_y1,permanent_first_y1_year,permanent_y1_years,csi_classification_summary
79197,12118,THDO,3D0 CO THE,micro,2003-06-06,574,-0.25,2003-03-31,total_market,FALSE,,,FALSE,,,,FALSE,TRUE,TRUE,1995,1995;2000;2002,TRUE,TRUE,574,TRUE,2000,2000;2002,classified_as_csi_in_available_labels_or_events
81202,13531,DZTK,DAISYTEK INTERNATIONAL CORP,micro,2003-06-12,574,-0.850746,2003-03-31,total_market,FALSE,,,FALSE,,,,FALSE,TRUE,TRUE,2002,2002,TRUE,TRUE,574,TRUE,2002,2002,classified_as_csi_in_available_labels_or_events
88601,39144,SOE,SOUTHERN ENERGY INC DEL,small,2003-07-14,574,-0.87931,2003-06-30,total_market,FALSE,,,FALSE,,,,FALSE,TRUE,TRUE,2001,2001,TRUE,FALSE,"",TRUE,2001,2001,classified_as_csi_in_available_labels_or_events
83342,31623,LSP,LORAL SPACE & COMMUNICATIONS LTD,micro,2003-07-15,574,-0.895082,2003-06-30,total_market,FALSE,,,FALSE,,,,FALSE,TRUE,TRUE,2000,2000;2001,TRUE,TRUE,574,TRUE,2000,2000;2001,classified_as_csi_in_available_labels_or_events
86170,16156,HLMD,H L M DESIGN INC,micro,2003-07-22,573,0.015228,2003-06-30,total_market,FALSE,,,FALSE,,,,FALSE,FALSE,FALSE,,"",FALSE,FALSE,,FALSE,,"",no_csi_classification_found_in_available_labels_or_events
11159,8734,DVIC,DIAGNOSTIC VENTURES INC,micro,2003-08-13,574,-0.928571,2003-06-30,total_market,FALSE,,,FALSE,,,,FALSE,TRUE,TRUE,2001,2001;2002,TRUE,TRUE,574,FALSE,,"",classified_as_csi_in_available_labels_or_events
88513,,,,,2003-08-28,574,-0.954487,,,FALSE,,,FALSE,,,,FALSE,FALSE,FALSE,,,FALSE,FALSE,,FALSE,,,no_csi_classification_found_in_available_labels_or_events
58406,3309,NWPS,NORTHWESTERN PUBLIC SERVICE CO,micro,2003-09-12,574,-0.674419,2003-06-30,total_market,FALSE,,,FALSE,,,,FALSE,TRUE,TRUE,2002,2002,TRUE,TRUE,574,TRUE,2002,2002,classified_as_csi_in_available_labels_or_events
77688,36363,COE,CONE MILLS CORP NC,micro,2003-09-15,574,-0.904762,2003-06-30,total_market,FALSE,,,FALSE,,,,FALSE,TRUE,TRUE,2001,2001,TRUE,TRUE,574,TRUE,2001,2001,classified_as_csi_in_available_labels_or_events
84341,15211,TMAM,TEAM AMERICA CORP,micro,2003-09-25,574,0.238095,2003-06-30,total_market,FALSE,,,FALSE,,,,FALSE,TRUE,TRUE,2001,2001,TRUE,TRUE,574,TRUE,2001,2001,classified_as_csi_in_available_labels_or_events
87287,35280,RAC,RAMPART CAPTIAL CORP,micro,2003-11-05,573,0.007257,2003-09-30,total_market,FALSE,,,FALSE,,,,FALSE,TRUE,TRUE,2001,2001;2002,TRUE,TRUE,573,FALSE,,"",classified_as_csi_in_available_labels_or_events
